OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
13640,POINT (-98.65869983267675 35.729799832698866),AIRPORT,NONE,OKLAHOMA,CUSTER,THOMAS,PERKINS,PR,1700,DALLAS-FT WORTH,,N,,,,
13641,POINT (-99.17133333282432 34.458624999845526),AIRPORT,AOK,OKLAHOMA,TILLMAN,TIPTON,TIPTON MUNI,PU,1248,DALLAS-FT WORTH,,N,,122.9,N,Y
13642,POINT (-96.67450000005098 34.198500000179166),AIRPORT,AOK,OKLAHOMA,JOHNSTON,TISHOMINGO,TISHOMINGO AIRPARK,PU,647,DALLAS-FT WORTH,,N,,122.9,N,Y
13643,POINT (-96.73486111068952 34.35702777808457),AIRPORT,NONE,OKLAHOMA,JOHNSTON,TISHOMINGO,SPRING CREEK RANCH,PR,933,DALLAS-FT WORTH,,N,,,,
13644,POINT (-95.98459527759208 36.039583889095),AIRPORT,AOK,OKLAHOMA,TULSA,TULSA,RICHARD LLOYD JONES JR,PU,637.90002441,KANSAS CITY,100LLA,Y,122.95,120.3,N,Y
13645,POINT (-95.953327222239 36.042873333134395),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,CITY OF FAITH,PR,624,KANSAS CITY,,N,,,N,Y
13646,POINT (-96.02610916673287 36.11620305576103),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,CHANNEL 8,PR,910,KANSAS CITY,,N,,,,Y
13647,POINT (-95.96638416662171 36.13426027787528),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,ST JOHN,PR,740,KANSAS CITY,,N,,,N,Y
13648,POINT (-95.9586061109207 36.14231583278655),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,TULSA SECURITY,PR,720,DALLAS-FT WORTH,A,N,123.05,,,Y
13649,POINT (-95.96742499962565 36.14605833328079),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,HILLCREST MEDICAL CNTR,PR,787,KANSAS CITY,,N,122.8,,N,Y
13650,POINT (-95.99721944421363 36.14953694385268),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,POLICE CIVIC CENTER,PR,740,KANSAS CITY,,N,,,,
13651,POINT (-95.88721666740663 36.07426944416555),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,TRIAD EYE MEDICAL CLINIC,PR,725,KANSAS CITY,,N,,,,
13652,POINT (-95.88811111095187 36.198388889080455),AIRPORT,AOK,OKLAHOMA,TULSA,TULSA,TULSA INTL,PU,677.5,KANSAS CITY,100LLA    A1   B,Y,122.95,,N,Y
13653,POINT (-95.99333333319282 36.16111111121157),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,KOTV HELIPORT,PR,720,KANSAS CITY,,N,,,,Y
13654,POINT (-95.91868888916252 36.07488888893138),HELIPORT,AOK,OKLAHOMA,TULSA,TULSA,ST FRANCIS HOSPITAL,PR,752,KANSAS CITY,A,N,122.8,,N,Y
13655,POINT (-95.82505555572088 36.13891666671633),AIRPORT,AOK,OKLAHOMA,TULSA,TULSA,HARVEY YOUNG,PU,750,KANSAS CITY,100LL,N,122.8,122.8,N,Y
13656,POINT (-97.6642063894253 35.28756277769403),AIRPORT,AOK,OKLAHOMA,MC CLAIN,TUTTLE,LOW PASS,PR,1320,DALLAS-FT WORTH,,N,,,N,Y
13657,POINT (-97.76398333343438 35.243522222182634),AIRPORT,AOK,OKLAHOMA,GRADY,TUTTLE,THOMPSON PRIVATE,PR,1280,DALLAS-FT WORTH,,N,,,,Y
